README Summary for Data Dictionary V1.2					
"- In 'data_files' column: '*' implies all files in that data set category from Mazumder, Pond, and Crandall Labs."					
					
Summary of V1.2 Changes in Property Definition List:					
Term	Action 	Affected Datasets 			
num_segments 	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
assembly_gc_content	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
length	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
num_of_frameshifts	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
num_of_stop_codons	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
genome_coverage	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
n50 	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
n75	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
n90	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
l50 	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
l75	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
ref_genome_acc	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
query_coverage_against_reference	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
reference_coverage_against_query	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
percent_identity_against_reference	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
percent_reads_unaligned	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
assembly_type	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
assembly_level	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
assembly_score	New dataset added to Core Property List. New dataset uses the following QC term. New dataset name is 'assemblyQC_NCBI.tsv'.	assemblyQC_NCBI.tsv			
					
Summary of V1.2 Changes in Non-CORE Property List and associated data sets:					
Term	Action 	Affected Datasets 			
Edits to Column Headers:					
NA					
Edits to Terms (Also Reflected in Property Deinitions List):					
All terms 	Dataset was retired and replaced with the new datasets incorporated into the Core Property List. All dataset information was removed from Non-Core Property list.	SRA_ngsQC.tsv			
All terms 	Dataset was retired and replaced with the new datasets incorporated into the Core Property List. All dataset information was removed from Non-Core Property list.	SRA_assemblyQC.tsv			
					
V1.2 Data Sheet Statistics:					
Class	Sheet	Total Properties			
Dictionary	property_definition.tsv	132			
Dictionary 	core_property_list.tsv	211			
Dictionary 	non-core_property_list.tsv	57			
Core	ngsQC*	41			
Core	assemblyQC*	33			
Core	siteQC*	34			
Core	biosampleMeta*	29			
Non-Core	SRA_biosample	23			
Non-Core	ngs_ID_list.tsv	14			
Non-Core	sars-cov-2_lineage_mutations.tsv	14			
Non-Core	uniprot-proteome_*.csv	7			
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
